"Latitude.y","Longitude.y","Pot_ID","tow_id","AveTemp","AveDepth","Latitude.x","Longitude.x"
57.731039,-164.271387,"A3","A 3",-1.1,51,57.732,-164.27
57.565218,-164.267652,"A8","A 8",-0.7,55,57.565,-164.266
57.399372,-164.263952,"A13","A13",0,61,57.4,-164.263
57.233499,-164.260286,"A18","A18",0.4,66,57.234,-164.259
57.067599,-164.256654,"A23","A23",1.3,69,57.067,-164.256
56.934858,-164.253772,"A27","A27",1.6,70,56.935,-164.254
56.735711,-164.249489,"A33","A33",1.8,74,56.736,-164.25
56.53652,-164.245252,"A39","A39",2,80,56.537,-164.246
56.4037,-164.242454,"A43","A43",2.3,84,56.405,-164.244
56.337282,-164.241062,"A45","A45",2.3,87,56.337,-164.242
56.270859,-164.239675,"A47","A47",2.4,88,56.271,-164.24
56.071557,-164.235544,"A53","A53",2.8,90,56.072,-164.236
55.872205,-164.231458,"A59","A59",3.9,94,55.873,-164.231
55.739275,-164.228758,"A63","A63",4.3,95,55.739,-164.228
55.672801,-164.227415,"A65","A65",4.1,95,55.673,-164.228
57.749739,-163.803931,"B3","B 3",-1.2,49,57.749,-163.803
57.583911,-163.80238,"B8","B 8",-0.6,50,57.583,-163.801
57.418058,-163.800842,"B13","B13",-0.2,54,57.417,-163.801
57.252179,-163.799319,"B18","B18",0.5,65,57.251,-163.799
57.086272,-163.79781,"B23","B23",1.4,67,57.085,-163.798
56.986714,-163.796911,"B26","B26",1.7,68,56.987,-163.798
56.787567,-163.795128,"B32","B32",2,72,56.788,-163.795
56.588376,-163.793365,"B38","B38",2.3,79,56.589,-163.794
56.455557,-163.7922,"B42","B42",2.5,82,56.456,-163.792
56.38914,-163.791621,"B44","B44",2.6,84,56.39,-163.792
56.322717,-163.791044,"B46","B46",2.8,85,56.323,-163.791
56.123417,-163.789324,"B52","B52",3.1,89,56.124,-163.79
55.924067,-163.787624,"B58","B58",4.2,94,55.924,-163.788
55.791139,-163.7865,"B62","B62",4.3,93,55.792,-163.785
55.724666,-163.785941,"B64","B64",4.4,94,55.725,-163.786
55.658187,-163.785384,"B66","B66",4.1,95,55.658,-163.785
55.392211,-163.783176,"B74","B74",3.4,79,55.392,-163.783
55.292445,-163.782356,"B77","B77",3.3,64,55.292,-163.782
55.159401,-163.781269,"B81","B81",3.2,43,55.159,-163.782
55.092869,-163.780729,"B83","B83",3.1,39,55.093,-163.781
57.783269,-163.33594,"C2","C 2",-0.5,47,57.783,-163.338
57.617445,-163.336576,"C7","C 7",-0.3,47,57.617,-163.338
57.451595,-163.337207,"C12","C12",0.1,51,57.452,-163.337
57.252541,-163.337956,"C18","C18",1.6,57,57.253,-163.338
57.086632,-163.338573,"C23","C23",1.9,65,57.086,-163.338
56.953885,-163.339063,"C27","C27",2.3,66,56.953,-163.339
56.754729,-163.339792,"C33","C33",2.5,72,56.757,-163.34
56.555529,-163.340513,"C39","C39",2.7,81,56.555,-163.339
56.422703,-163.340989,"C43","C43",2.7,83,56.423,-163.339
56.356283,-163.341225,"C45","C45",2.7,85,56.356,-163.341
56.323071,-163.341343,"C46","C46",2.9,85,56.323,-163.342
56.256642,-163.341579,"C48","C48",3,88,56.257,-163.34
56.123769,-163.342047,"C52","C52",3.2,95,56.123,-163.342
56.057324,-163.34228,"C54","C54",3.2,88,56.058,-163.343
55.924417,-163.342743,"C58","C58",3.9,89,55.924,-163.343
55.824722,-163.343089,"C61","C61",4,89,55.825,-163.343
55.525558,-163.344114,"C70","C70",3.3,67,55.525,-163.345
55.425809,-163.344452,"C73","C73",3.2,57,55.426,-163.345
55.292789,-163.3449,"C77","C77",3,48,55.293,-163.344
55.22627,-163.345122,"C79","C79",2.8,51,55.226,-163.346
57.748721,-162.868217,"D3","D 3",-0.6,46,57.748,-162.868
57.582898,-162.871039,"D8","D 8",0,49,57.582,-162.87
57.417049,-162.873835,"D13","D13",0.3,50,57.417,-162.874
57.251174,-162.876605,"D18","D18",0.6,52,57.251,-162.879
57.085272,-162.879349,"D23","D23",1.1,60,57.085,-162.879
56.95253,-162.881527,"D27","D27",1.9,62,56.953,-162.881
56.753381,-162.884763,"D33","D33",2.4,68,56.753,-162.886
56.554187,-162.887964,"D39","D39",2.4,77,56.553,-162.889
56.421367,-162.890079,"D43","D43",2.7,81,56.421,-162.891
56.354948,-162.891131,"D45","D45",2.7,80,56.354,-162.891
56.321737,-162.891655,"D46","D46",2.9,79,56.322,-162.892
56.255311,-162.892701,"D48","D48",2.9,82,56.255,-162.893
56.122442,-162.894782,"D52","D52",3,91,56.122,-162.895
56.056,-162.895816,"D54","D54",3,83,56.055,-162.895
55.923097,-162.897875,"D58","D58",3,83,55.924,-162.898
55.823406,-162.899409,"D61","D61",3,81,55.824,-162.9
55.657224,-162.901947,"D66","D66",2.9,55,55.657,-162.902
55.590741,-162.902957,"D68","D68",2.8,52,55.591,-162.903
57.745584,-162.400426,"E3","E 3",0.5,46,57.745,-162.403
57.579775,-162.405434,"E8","E 8",0.5,47,57.58,-162.406
57.41394,-162.410396,"E13","E13",0.6,50,57.414,-162.412
57.248079,-162.415312,"E18","E18",1.2,54,57.248,-162.417
57.082191,-162.420182,"E23","E23",1.8,59,57.082,-162.422
56.849898,-162.426926,"E30","E30",2.1,66,56.85,-162.43
56.717133,-162.430741,"E34","E34",2.2,74,56.717,-162.433
56.617547,-162.433584,"E37","E37",2.4,68,56.618,-162.434
56.551149,-162.43547,"E39","E39",2.4,76,56.55,-162.436
56.418339,-162.439223,"E43","E43",2.5,76,56.418,-162.439
56.351926,-162.441089,"E45","E45",2.6,79,56.352,-162.441
56.18587,-162.445726,"E50","E50",2.8,78,56.187,-162.445
56.053,-162.449405,"E54","E54",2.9,77,56.053,-162.448
55.953334,-162.452147,"E57","E57",2.8,75,55.954,-162.451
55.886882,-162.453967,"E59","E59",2.7,69,55.887,-162.454
55.753961,-162.457587,"E63","E63",2.3,50,55.754,-162.457
55.687492,-162.459387,"E65","E65",2.1,38,55.688,-162.459
57.740695,-161.932742,"F3","F 3",0.6,47,57.741,-161.929
57.574908,-161.939935,"F8","F 8",0.9,51,57.575,-161.937
57.409096,-161.947061,"F13","F13",1.3,51,57.409,-161.944
57.243256,-161.954121,"F18","F18",1.9,53,57.244,-161.953
57.077389,-161.961116,"F23","F23",1.8,58,57.078,-161.964
56.944675,-161.966665,"F27","F27",2.1,63,56.944,-161.968
56.778755,-161.973545,"F32","F32",2.2,70,56.778,-161.974
56.612804,-161.980363,"F37","F37",2.4,77,56.612,-161.98
56.380419,-161.989804,"F44","F44",2.5,82,56.379,-161.99
56.280806,-161.993813,"F47","F47",2.7,85,56.281,-161.995
56.147969,-161.999126,"F51","F51",2.6,63,56.148,-161.999
56.081542,-162.001768,"F53","F53",2.6,64,56.082,-162.002
55.948672,-162.007024,"F57","F57",2.3,47,55.949,-162.007
55.882228,-162.009637,"F59","F59",1.8,30,55.883,-162.01
57.734056,-161.46521,"G3","G 3",0.8,51,57.736,-161.467
57.568299,-161.474586,"G8","G 8",1.9,52,57.569,-161.476
57.402516,-161.483874,"G13","G13",2.2,56,57.403,-161.484
57.236706,-161.493076,"G18","G18",2.2,60,57.237,-161.487
57.070868,-161.502193,"G23","G23",2.4,66,57.07,-161.488
56.905,-161.511227,"G28","G28",2.8,78,56.903,-161.502
56.739103,-161.520179,"G33","G33",2.8,83,56.738,-161.514
56.606362,-161.527281,"G37","G37",2.5,76,56.606,-161.527
56.407213,-161.537838,"G43","G43",2.5,66,56.407,-161.539
56.208015,-161.548282,"G49","G49",2.4,59,56.208,-161.548
56.075189,-161.555182,"G53","G53",2,45,56.075,-161.556
56.008767,-161.558613,"G55","G55",1.7,33,56.008,-161.557
57.758807,-160.995553,"H3","H 3",1.4,52,57.758,-161.001
57.593093,-161.00713,"H8","H 8",1.6,58,57.593,-161.01
57.427353,-161.018599,"H13","H13",1.6,60,57.427,-161.017
57.261586,-161.029962,"H18","H18",1.9,61,57.262,-161.029
57.09579,-161.04122,"H23","H23",2.1,70,57.095,-161.038
56.929965,-161.052375,"H28","H28",2.3,58,56.93,-161.05
56.76411,-161.063428,"H33","H33",2.3,71,56.765,-161.062
56.730935,-161.065626,"H34","H34",2.4,71,56.731,-161.066
56.664581,-161.070011,"H36","H36",2.3,70,56.665,-161.071
56.531859,-161.078733,"H40","H40",2.3,70,56.532,-161.079
56.46549,-161.083071,"H42","H42",2.3,66,56.465,-161.083
56.332736,-161.091699,"H46","H46",2.3,54,56.332,-161.092
56.233155,-161.098129,"H49","H49",1.9,46,56.232,-161.098
57.715528,-160.53079,"I4","I 4",1.2,57,57.716,-160.532
57.582991,-160.541785,"I8","I 8",1.5,60,57.584,-160.542
57.417297,-160.555414,"I13","I13",1.7,62,57.417,-160.555
57.251574,-160.568917,"I18","I18",1.8,66,57.252,-160.568
57.085823,-160.582296,"I23","I23",2.1,65,57.085,-160.582
