time,latitude,longitude,depth,temperature,sensor_type,vessel_gear_type,data_collection_program,vessel_id,tow_id,segment_type,platform_code,platform_name,DOI,qc_vessel_region,qc_gear_type,qc_date,qc_location,qc_land,qc_speed,qc_global_range,qc_temp_spike,qc_rollover,qc_temp_stuck,qc_RoC,qc_timing_gap,qc_clima
UTC,degrees_north,degrees_east,m,degree_C,,,,,,,,,,,,,,,,,,,,,,
2023-03-18T17:29:05Z,56.6788,-161.978,2.2,2.155,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,3,3,1
2023-03-18T17:29:06Z,56.6788,-161.978,3.4,2.241,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:07Z,56.6788,-161.978,4.5,2.265,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:08Z,56.6788,-161.978,5.6,2.267,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:09Z,56.6788,-161.978,6.7,2.268,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:10Z,56.6788,-161.978,7.9,2.268,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:11Z,56.6788,-161.978,9.1,2.265,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:12Z,56.6788,-161.978,10.3,2.272,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:13Z,56.6788,-161.978,11.4,2.277,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:14Z,56.6788,-161.978,12.6,2.28,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:15Z,56.6788,-161.978,13.8,2.285,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:16Z,56.6788,-161.978,15.1,2.287,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:17Z,56.6788,-161.978,16.3,2.287,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:18Z,56.6788,-161.978,17.5,2.285,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:19Z,56.6788,-161.978,18.7,2.282,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:20Z,56.6788,-161.978,19.9,2.281,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:21Z,56.6788,-161.978,21.1,2.283,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:22Z,56.6788,-161.978,22.3,2.286,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:23Z,56.6788,-161.978,23.5,2.29,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
2023-03-18T17:29:24Z,56.6788,-161.978,24.7,2.289,Moana TD,Traps/Pots,Alaska Marine Conservation Council,120,37384,Profiling Down,AMCC_2,AMCC Vessel 2,,1,1,1,1,NaN,1,1,1,1,1,1,3,1
