Pot_ID,Latitude,Lat_N,Lat_DM,Lat_DD,Longitude,Lon_W,Lon_DM,Lon_DD
A1,57° 47.84166' N,57,47.8417,57.7974,164° 16.37346' W,164,16.3735,-164.2729
A2,57° 45.852' N,57,45.852,57.7642,164° 16.32828' W,164,16.3283,-164.2721
A3,57° 43.86234' N,57,43.8623,57.731,164° 16.28322' W,164,16.2832,-164.2714
A4,57° 41.87262' N,57,41.8726,57.6979,164° 16.23822' W,164,16.2382,-164.2706
A5,57° 39.88284' N,57,39.8828,57.6647,164° 16.19334' W,164,16.1933,-164.2699
A6,57° 37.893' N,57,37.893,57.6316,164° 16.14852' W,164,16.1485,-164.2691
A7,57° 35.90304' N,57,35.903,57.5984,164° 16.10376' W,164,16.1038,-164.2684
A8,57° 33.91308' N,57,33.9131,57.5652,164° 16.05912' W,164,16.0591,-164.2677
A9,57° 31.92306' N,57,31.9231,57.5321,164° 16.01454' W,164,16.0145,-164.2669
A10,57° 29.93298' N,57,29.933,57.4989,164° 15.97008' W,164,15.9701,-164.2662
A11,57° 27.94284' N,57,27.9428,57.4657,164° 15.92568' W,164,15.9257,-164.2654
A12,57° 25.95258' N,57,25.9526,57.4325,164° 15.88134' W,164,15.8813,-164.2647
A13,57° 23.96232' N,57,23.9623,57.3994,164° 15.83712' W,164,15.8371,-164.264
A14,57° 21.972' N,57,21.972,57.3662,164° 15.79296' W,164,15.793,-164.2632
A15,57° 19.98156' N,57,19.9816,57.333,164° 15.74886' W,164,15.7489,-164.2625
A16,57° 17.99112' N,57,17.9911,57.2999,164° 15.70488' W,164,15.7049,-164.2617
A17,57° 16.00056' N,57,16.0006,57.2667,164° 15.66096' W,164,15.661,-164.261
A18,57° 14.00994' N,57,14.0099,57.2335,164° 15.61716' W,164,15.6172,-164.2603
A19,57° 12.01926' N,57,12.0193,57.2003,164° 15.57342' W,164,15.5734,-164.2596
A20,57° 10.02852' N,57,10.0285,57.1671,164° 15.52974' W,164,15.5297,-164.2588
A21,57° 8.03772' N,57,8.0377,57.134,164° 15.48618' W,164,15.4862,-164.2581
A22,57° 6.04686' N,57,6.0469,57.1008,164° 15.44262' W,164,15.4426,-164.2574
A23,57° 4.05594' N,57,4.0559,57.0676,164° 15.39924' W,164,15.3992,-164.2567
A24,57° 2.0649' N,57,2.0649,57.0344,164° 15.35586' W,164,15.3559,-164.2559
A25,57° 0.07386' N,57,0.0739,57.0012,164° 15.3126' W,164,15.3126,-164.2552
A26,56° 58.0827' N,56,58.0827,56.968,164° 15.2694' W,164,15.2694,-164.2545
A27,56° 56.09148' N,56,56.0915,56.9349,164° 15.22632' W,164,15.2263,-164.2538
A28,56° 54.1002' N,56,54.1002,56.9017,164° 15.1833' W,164,15.1833,-164.2531
A29,56° 52.1088' N,56,52.1088,56.8685,164° 15.14034' W,164,15.1403,-164.2523
A30,56° 50.1174' N,56,50.1174,56.8353,164° 15.09744' W,164,15.0974,-164.2516
A31,56° 48.12588' N,56,48.1259,56.8021,164° 15.05466' W,164,15.0547,-164.2509
A32,56° 46.1343' N,56,46.1343,56.7689,164° 15.01194' W,164,15.0119,-164.2502
A33,56° 44.14266' N,56,44.1427,56.7357,164° 14.96934' W,164,14.9693,-164.2495
A34,56° 42.15096' N,56,42.151,56.7025,164° 14.92674' W,164,14.9267,-164.2488
A35,56° 40.15914' N,56,40.1591,56.6693,164° 14.88426' W,164,14.8843,-164.2481
A36,56° 38.16726' N,56,38.1673,56.6361,164° 14.8419' W,164,14.8419,-164.2474
A37,56° 36.17532' N,56,36.1753,56.6029,164° 14.79954' W,164,14.7995,-164.2467
A38,56° 34.18326' N,56,34.1833,56.5697,164° 14.7573' W,164,14.7573,-164.246
A39,56° 32.1912' N,56,32.1912,56.5365,164° 14.71512' W,164,14.7151,-164.2453
A40,56° 30.19902' N,56,30.199,56.5033,164° 14.67306' W,164,14.6731,-164.2446
A41,56° 28.20672' N,56,28.2067,56.4701,164° 14.631' W,164,14.631,-164.2439
A42,56° 26.21442' N,56,26.2144,56.4369,164° 14.58906' W,164,14.5891,-164.2432
A43,56° 24.222' N,56,24.222,56.4037,164° 14.54724' W,164,14.5472,-164.2425
A44,56° 22.22952' N,56,22.2295,56.3705,164° 14.50542' W,164,14.5054,-164.2418
A45,56° 20.23692' N,56,20.2369,56.3373,164° 14.46372' W,164,14.4637,-164.2411
A46,56° 18.24426' N,56,18.2443,56.3041,164° 14.42208' W,164,14.4221,-164.2404
A47,56° 16.25154' N,56,16.2515,56.2709,164° 14.3805' W,164,14.3805,-164.2397
A48,56° 14.25876' N,56,14.2588,56.2376,164° 14.33898' W,164,14.339,-164.239
A49,56° 12.26586' N,56,12.2659,56.2044,164° 14.29758' W,164,14.2976,-164.2383
A50,56° 10.27284' N,56,10.2728,56.1712,164° 14.25624' W,164,14.2562,-164.2376
A51,56° 8.27982' N,56,8.2798,56.138,164° 14.21496' W,164,14.215,-164.2369
A52,56° 6.28668' N,56,6.2867,56.1048,164° 14.1738' W,164,14.1738,-164.2362
A53,56° 4.29342' N,56,4.2934,56.0716,164° 14.13264' W,164,14.1326,-164.2355
A54,56° 2.3001' N,56,2.3001,56.0383,164° 14.0916' W,164,14.0916,-164.2349
A55,56° 0.30672' N,56,0.3067,56.0051,164° 14.05062' W,164,14.0506,-164.2342
A56,55° 58.31328' N,55,58.3133,55.9719,164° 14.00976' W,164,14.0098,-164.2335
A57,55° 56.31972' N,55,56.3197,55.9387,164° 13.9689' W,164,13.9689,-164.2328
A58,55° 54.32604' N,55,54.326,55.9054,164° 13.92816' W,164,13.9282,-164.2321
A59,55° 52.3323' N,55,52.3323,55.8722,164° 13.88748' W,164,13.8875,-164.2315
A60,55° 50.3385' N,55,50.3385,55.839,164° 13.84686' W,164,13.8469,-164.2308
A61,55° 48.34458' N,55,48.3446,55.8057,164° 13.80636' W,164,13.8064,-164.2301
A62,55° 46.3506' N,55,46.3506,55.7725,164° 13.76586' W,164,13.7659,-164.2294
A63,55° 44.3565' N,55,44.3565,55.7393,164° 13.72548' W,164,13.7255,-164.2288
A64,55° 42.36234' N,55,42.3623,55.706,164° 13.68516' W,164,13.6852,-164.2281
A65,55° 40.36806' N,55,40.3681,55.6728,164° 13.6449' W,164,13.6449,-164.2274
A66,55° 38.37372' N,55,38.3737,55.6396,164° 13.60476' W,164,13.6048,-164.2267
A67,55° 36.37926' N,55,36.3793,55.6063,164° 13.56462' W,164,13.5646,-164.2261
A68,55° 34.38474' N,55,34.3847,55.5731,164° 13.5246' W,164,13.5246,-164.2254
A69,55° 32.3901' N,55,32.3901,55.5398,164° 13.48464' W,164,13.4846,-164.2247
A70,55° 30.3954' N,55,30.3954,55.5066,164° 13.44474' W,164,13.4447,-164.2241
A71,55° 28.40058' N,55,28.4006,55.4733,164° 13.4049' W,164,13.4049,-164.2234
A72,55° 26.40564' N,55,26.4056,55.4401,164° 13.36518' W,164,13.3652,-164.2228
A73,55° 24.4107' N,55,24.4107,55.4068,164° 13.32546' W,164,13.3255,-164.2221
A74,55° 22.41558' N,55,22.4156,55.3736,164° 13.28586' W,164,13.2859,-164.2214
A75,55° 20.4204' N,55,20.4204,55.3403,164° 13.24632' W,164,13.2463,-164.2208
A76,55° 18.4251' N,55,18.4251,55.3071,164° 13.20684' W,164,13.2068,-164.2201
A77,55° 16.42974' N,55,16.4297,55.2738,164° 13.16742' W,164,13.1674,-164.2195
A78,55° 14.43426' N,55,14.4343,55.2406,164° 13.12812' W,164,13.1281,-164.2188
A79,55° 12.43872' N,55,12.4387,55.2073,164° 13.08882' W,164,13.0888,-164.2181
A80,55° 10.44306' N,55,10.4431,55.1741,164° 13.04964' W,164,13.0496,-164.2175
A81,55° 8.44734' N,55,8.4473,55.1408,164° 13.01052' W,164,13.0105,-164.2168
A82,55° 6.45144' N,55,6.4514,55.1075,164° 12.97146' W,164,12.9715,-164.2162
A83,55° 4.45548' N,55,4.4555,55.0743,164° 12.93246' W,164,12.9325,-164.2155
A84,55° 2.45946' N,55,2.4595,55.041,164° 12.89352' W,164,12.8935,-164.2149
A85,55° 0.46332' N,55,0.4633,55.0077,164° 12.8547' W,164,12.8547,-164.2142
B1,57° 48.96384' N,57,48.9638,57.8161,163° 48.27336' W,163,48.2734,-163.8046
B2,57° 46.97412' N,57,46.9741,57.7829,163° 48.25464' W,163,48.2546,-163.8042
B3,57° 44.98434' N,57,44.9843,57.7497,163° 48.23586' W,163,48.2359,-163.8039
B4,57° 42.99456' N,57,42.9946,57.7166,163° 48.2172' W,163,48.2172,-163.8036
B5,57° 41.00466' N,57,41.0047,57.6834,163° 48.19854' W,163,48.1985,-163.8033
B6,57° 39.0147' N,57,39.0147,57.6502,163° 48.17994' W,163,48.1799,-163.803
B7,57° 37.02474' N,57,37.0247,57.6171,163° 48.16134' W,163,48.1613,-163.8027
B8,57° 35.03466' N,57,35.0347,57.5839,163° 48.1428' W,163,48.1428,-163.8024
B9,57° 33.04458' N,57,33.0446,57.5507,163° 48.12426' W,163,48.1243,-163.8021
B10,57° 31.05438' N,57,31.0544,57.5176,163° 48.10578' W,163,48.1058,-163.8018
B11,57° 29.06412' N,57,29.0641,57.4844,163° 48.0873' W,163,48.0873,-163.8015
B12,57° 27.07386' N,57,27.0739,57.4512,163° 48.06894' W,163,48.0689,-163.8011
B13,57° 25.08348' N,57,25.0835,57.4181,163° 48.05052' W,163,48.0505,-163.8008
B14,57° 23.09304' N,57,23.093,57.3849,163° 48.03216' W,163,48.0322,-163.8005
B15,57° 21.1026' N,57,21.1026,57.3517,163° 48.01386' W,163,48.0139,-163.8002
B16,57° 19.11204' N,57,19.112,57.3185,163° 47.99562' W,163,47.9956,-163.7999
B17,57° 17.12142' N,57,17.1214,57.2854,163° 47.97738' W,163,47.9774,-163.7996
B18,57° 15.13074' N,57,15.1307,57.2522,163° 47.95914' W,163,47.9591,-163.7993
B19,57° 13.13994' N,57,13.1399,57.219,163° 47.94096' W,163,47.941,-163.799
B20,57° 11.14914' N,57,11.1491,57.1858,163° 47.92284' W,163,47.9228,-163.7987
B21,57° 9.15828' N,57,9.1583,57.1526,163° 47.90472' W,163,47.9047,-163.7984
B22,57° 7.1673' N,57,7.1673,57.1195,163° 47.88666' W,163,47.8867,-163.7981
B23,57° 5.17632' N,57,5.1763,57.0863,163° 47.8686' W,163,47.8686,-163.7978
B24,57° 3.18522' N,57,3.1852,57.0531,163° 47.8506' W,163,47.8506,-163.7975
B25,57° 1.19406' N,57,1.1941,57.0199,163° 47.8326' W,163,47.8326,-163.7972
B26,56° 59.20284' N,56,59.2028,56.9867,163° 47.81466' W,163,47.8147,-163.7969
B27,56° 57.21156' N,56,57.2116,56.9535,163° 47.79678' W,163,47.7968,-163.7966
B28,56° 55.22016' N,56,55.2202,56.9203,163° 47.7789' W,163,47.7789,-163.7963
B29,56° 53.22876' N,56,53.2288,56.8871,163° 47.76102' W,163,47.761,-163.796
B30,56° 51.23724' N,56,51.2372,56.854,163° 47.7432' W,163,47.7432,-163.7957
B31,56° 49.24566' N,56,49.2457,56.8208,163° 47.72544' W,163,47.7254,-163.7954
B32,56° 47.25402' N,56,47.254,56.7876,163° 47.70768' W,163,47.7077,-163.7951
B33,56° 45.26232' N,56,45.2623,56.7544,163° 47.68998' W,163,47.69,-163.7948
B34,56° 43.2705' N,56,43.2705,56.7212,163° 47.67228' W,163,47.6723,-163.7945
B35,56° 41.27862' N,56,41.2786,56.688,163° 47.65464' W,163,47.6546,-163.7942
B36,56° 39.28668' N,56,39.2867,56.6548,163° 47.63706' W,163,47.6371,-163.794
B37,56° 37.29468' N,56,37.2947,56.6216,163° 47.61948' W,163,47.6195,-163.7937
B38,56° 35.30256' N,56,35.3026,56.5884,163° 47.6019' W,163,47.6019,-163.7934
B39,56° 33.31038' N,56,33.3104,56.5552,163° 47.58438' W,163,47.5844,-163.7931
B40,56° 31.31814' N,56,31.3181,56.522,163° 47.56686' W,163,47.5669,-163.7928
B41,56° 29.32584' N,56,29.3258,56.4888,163° 47.5494' W,163,47.5494,-163.7925
B42,56° 27.33342' N,56,27.3334,56.4556,163° 47.532' W,163,47.532,-163.7922
B43,56° 25.34094' N,56,25.3409,56.4223,163° 47.5146' W,163,47.5146,-163.7919
B44,56° 23.3484' N,56,23.3484,56.3891,163° 47.49726' W,163,47.4973,-163.7916
