VESSEL,SPN,BUOY,DATE_HAUL,MaleTanner,FemaleTanner,MaleSnow,FemaleSnow,MaleHybrid,FemaleHybrid,HairCrab,PacificCod,Halibut,GreatSculpin,YellowfinSole,Pollock,Other
94,1,BLANK,3/19/2023,,,,,,,,6,,,7,,
94,2,LN,3/19/2023,,,,,,,,11,,,,,
94,3,OAK,3/19/2023,,,,,,,,12,,,5,,
94,4,RF,3/19/2023,,,,,,,,4,,1,3,,Scate
94,5,CID,3/19/2023,,,,,,,,10,,,1,,
94,6,TIG,3/19/2023,,,,,,,,11,,1,1,,
94,7,F62,3/19/2023,,,,,,,,5,,,2,,
94,8,JFK,3/19/2023,,,,,,,,5,,,1,,
94,9,EU,3/19/2023,,,,,,,,8,,,6,2,
94,10,RA,3/19/2023,,,,,,,,2,,,8,,
94,11,COB,3/19/2023,,,,,,,,8,,,5,,
94,12,B31,3/19/2023,,,,,,,,2,,,7,,
94,13,RB,3/19/2023,,,,,,,,2,,,7,,
94,14,T44,3/19/2023,,,,,,,,4,,,2,,
94,15,BT,3/19/2023,,,,,,,,3,,1,4,,
94,16,L5,3/19/2023,,,,,,,,7,,,18,,
94,17,JFK,3/19/2023,,,,,,,,2,,2,15,,
94,18,195,3/19/2023,,,,,,,,5,,1,10,2,
94,19,L63,3/19/2023,1,,,,,,,7,,,8,2,
94,20,Y20,3/19/2023,,,,,,,,4,,1,14,,
