HAUL_ID,SPECIMEN_BIOMETRIC_ID,SPECIMEN_ID,BIOMETRIC_ID,VALUE,UNITS,BIOMETRIC_NAME,COMPOSITE_NAME,BIOMETRIC_TYPE_ID,BIOMETRIC_TYPE,CODE_VALUE_MEANING,RECORDING_DEVICE,RECORDER,RECORD_TIMESTAMP,DATABASE_STATUS,STATUS_TIMESTAMP,DEVICE_RECORD_ID
7,146,33,5,3,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Hard, scratches, older shell","18c475f58d54b66e","<not set>","02/23/2023 15:24:31",0,"02/23/2023 15:24:31",146
7,147,33,11,138,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"18c475f58d54b66e","<not set>","02/23/2023 15:24:31",0,"02/23/2023 15:24:31",147
7,145,33,14,1,,"SEX","Sex",1,"CODE","Male","18c475f58d54b66e","<not set>","02/23/2023 15:24:31",0,"02/23/2023 15:24:31",145
7,149,34,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","18c475f58d54b66e","<not set>","02/23/2023 15:24:41",0,"02/23/2023 15:24:41",149
7,150,34,11,130,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"18c475f58d54b66e","<not set>","02/23/2023 15:24:41",0,"02/23/2023 15:24:41",150
7,148,34,14,1,,"SEX","Sex",1,"CODE","Male","18c475f58d54b66e","<not set>","02/23/2023 15:24:41",0,"02/23/2023 15:24:41",148
7,152,35,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","18c475f58d54b66e","<not set>","02/23/2023 15:24:45",0,"02/23/2023 15:24:45",152
7,153,35,11,120,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"18c475f58d54b66e","<not set>","02/23/2023 15:24:45",0,"02/23/2023 15:24:45",153
7,151,35,14,1,,"SEX","Sex",1,"CODE","Male","18c475f58d54b66e","<not set>","02/23/2023 15:24:45",0,"02/23/2023 15:24:45",151
7,155,36,5,3,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Hard, scratches, older shell","18c475f58d54b66e","<not set>","02/23/2023 15:25:32",0,"02/23/2023 15:25:32",155
7,156,36,6,2,,"CRAB_EGG_COLOR","Egg Color",1,"CODE","Purple","18c475f58d54b66e","<not set>","02/23/2023 15:25:32",0,"02/23/2023 15:25:32",156
7,157,36,7,2,,"CRAB_EGG_CONDITION","Egg Condition",1,"CODE","Eyed eggs","18c475f58d54b66e","<not set>","02/23/2023 15:25:32",0,"02/23/2023 15:25:32",157
7,158,36,8,4,,"CRAB_EGG_CLUTCH_SIZE","Clutch Size",1,"CODE","1/2 full","18c475f58d54b66e","<not set>","02/23/2023 15:25:32",0,"02/23/2023 15:25:32",158
7,159,36,11,120,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"18c475f58d54b66e","<not set>","02/23/2023 15:25:32",0,"02/23/2023 15:25:32",159
7,154,36,14,2,,"SEX","Sex",1,"CODE","Female","18c475f58d54b66e","<not set>","02/23/2023 15:25:32",0,"02/23/2023 15:25:32",154
7,161,37,5,3,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Hard, scratches, older shell","18c475f58d54b66e","<not set>","02/23/2023 15:25:36",0,"02/23/2023 15:25:36",161
7,162,37,6,2,,"CRAB_EGG_COLOR","Egg Color",1,"CODE","Purple","18c475f58d54b66e","<not set>","02/23/2023 15:25:36",0,"02/23/2023 15:25:36",162
7,163,37,7,2,,"CRAB_EGG_CONDITION","Egg Condition",1,"CODE","Eyed eggs","18c475f58d54b66e","<not set>","02/23/2023 15:25:36",0,"02/23/2023 15:25:36",163
7,164,37,8,4,,"CRAB_EGG_CLUTCH_SIZE","Clutch Size",1,"CODE","1/2 full","18c475f58d54b66e","<not set>","02/23/2023 15:25:36",0,"02/23/2023 15:25:36",164
