CRUISE,VESSEL,HAUL,STATION,SPECIES_CODE,SEX,LENGTH,WIDTH,SHELL_CONDITION,EGG_COLOR,EGG_CONDITION,CLUTCH_SIZE,WEIGHT,DISEASE_CODE,DISEASE_DORSAL,DISEASE_VENTRAL,DISEASE_LEGS,SAMPLING_FACTOR,CHELA_HEIGHT,MERUS_LENGTH,COMMENTS,RECORDING_DEVICE,ID,NOTES
202201,162,32,"GT8",69322,1,25.0,,2,,,,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000026",
202201,162,32,"GT8",69322,1,32.0,,2,,,,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000025",
202201,162,32,"GT8",69322,1,160.0,,2,,,,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000024",
202201,162,32,"GT8",69322,1,200.0,,2,,,,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000023",
202201,162,32,"GT8",69322,2,130.0,,2,2,1,3,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000032",
202201,162,32,"GT8",69322,2,120.0,,2,2,1,3,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000031",
202201,162,32,"GT8",69322,2,45.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000030",
202201,162,32,"GT8",69322,2,69.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000029",
202201,162,32,"GT8",69322,2,78.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000028",
202201,162,32,"GT8",69322,2,22.0,,2,0,0,0,,,,,,1.00000,,,,"18c475f58d54b66e","18c475f58d54b66e_0000000027",
