Pot ID,Latitude,Longitude
A1,57.797361,164.272891
A2,57.7642,164.272138
A3,57.731039,164.271387
A4,57.697877,164.270637
A5,57.664714,164.269889
A6,57.63155,164.269142
A7,57.598384,164.268396
A8,57.565218,164.267652
A9,57.532051,164.266909
A10,57.498883,164.266168
A11,57.465714,164.265428
A12,57.432543,164.264689
A13,57.399372,164.263952
A14,57.3662,164.263216
A15,57.333026,164.262481
A16,57.299852,164.261748
A17,57.266676,164.261016
A18,57.233499,164.260286
A19,57.200321,164.259557
A20,57.167142,164.258829
A21,57.133962,164.258103
A22,57.100781,164.257377
A23,57.067599,164.256654
A24,57.034415,164.255931
A25,57.001231,164.25521
A26,56.968045,164.25449
A27,56.934858,164.253772
A28,56.90167,164.253055
A29,56.86848,164.252339
A30,56.83529,164.251624
A31,56.802098,164.250911
A32,56.768905,164.250199
A33,56.735711,164.249489
A34,56.702516,164.248779
A35,56.669319,164.248071
A36,56.636121,164.247365
A37,56.602922,164.246659
A38,56.569721,164.245955
A39,56.53652,164.245252
A40,56.503317,164.244551
A41,56.470112,164.24385
A42,56.436907,164.243151
A43,56.4037,164.242454
A44,56.370492,164.241757
A45,56.337282,164.241062
A46,56.304071,164.240368
A47,56.270859,164.239675
A48,56.237646,164.238983
A49,56.204431,164.238293
A50,56.171214,164.237604
A51,56.137997,164.236916
A52,56.104778,164.23623
A53,56.071557,164.235544
A54,56.038335,164.23486
A55,56.005112,164.234177
A56,55.971888,164.233496
A57,55.938662,164.232815
A58,55.905434,164.232136
A59,55.872205,164.231458
A60,55.838975,164.230781
A61,55.805743,164.230106
A62,55.77251,164.229431
A63,55.739275,164.228758
A64,55.706039,164.228086
A65,55.672801,164.227415
A66,55.639562,164.226746
A67,55.606321,164.226077
A68,55.573079,164.22541
A69,55.539835,164.224744
A70,55.50659,164.224079
A71,55.473343,164.223415
A72,55.440094,164.222753
A73,55.406845,164.222091
A74,55.373593,164.221431
A75,55.34034,164.220772
A76,55.307085,164.220114
A77,55.273829,164.219457
A78,55.240571,164.218802
A79,55.207312,164.218147
A80,55.174051,164.217494
A81,55.140789,164.216842
A82,55.107524,164.216191
A83,55.074258,164.215541
A84,55.040991,164.214892
A85,55.007722,164.214245
B1,57.816064,163.804556
B2,57.782902,163.804244
B3,57.749739,163.803931
B4,57.716576,163.80362
B5,57.683411,163.803309
B6,57.650245,163.802999
B7,57.617079,163.802689
B8,57.583911,163.80238
B9,57.550743,163.802071
B10,57.517573,163.801763
B11,57.484402,163.801455
B12,57.451231,163.801149
