HAUL_ID,SPECIMEN_BIOMETRIC_ID,SPECIMEN_ID,BIOMETRIC_ID,VALUE,UNITS,BIOMETRIC_NAME,COMPOSITE_NAME,BIOMETRIC_TYPE_ID,BIOMETRIC_TYPE,CODE_VALUE_MEANING,RECORDING_DEVICE,RECORDER,RECORD_TIMESTAMP,DATABASE_STATUS,STATUS_TIMESTAMP,DEVICE_RECORD_ID
81,4808,1164,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:49:13",0,"06/06/2021 09:49:13",4808
81,4809,1164,11,158.82,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:49:13",0,"06/06/2021 09:49:13",4809
81,4807,1164,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:49:13",0,"06/06/2021 09:49:13",4807
81,4811,1165,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:49:16",0,"06/06/2021 09:49:16",4811
81,4812,1165,11,120.81,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:49:16",0,"06/06/2021 09:49:16",4812
81,4810,1165,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:49:16",0,"06/06/2021 09:49:16",4810
81,4814,1166,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:49:20",0,"06/06/2021 09:49:20",4814
81,4815,1166,11,107.34,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:49:20",0,"06/06/2021 09:49:20",4815
81,4813,1166,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:49:20",0,"06/06/2021 09:49:20",4813
81,4817,1167,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:49:35",0,"06/06/2021 09:49:35",4817
81,4818,1167,11,135.95,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:49:35",0,"06/06/2021 09:49:35",4818
81,4816,1167,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:49:35",0,"06/06/2021 09:49:35",4816
81,4820,1168,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:49:42",0,"06/06/2021 09:49:42",4820
81,4821,1168,11,120.00,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:49:42",0,"06/06/2021 09:49:42",4821
81,4819,1168,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:49:42",0,"06/06/2021 09:49:42",4819
81,4823,1169,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:49:47",0,"06/06/2021 09:49:47",4823
81,4824,1169,11,136.55,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:49:47",0,"06/06/2021 09:49:47",4824
81,4822,1169,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:49:47",0,"06/06/2021 09:49:47",4822
81,4826,1170,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:50:01",0,"06/06/2021 09:50:01",4826
81,4827,1170,11,126.53,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:50:01",0,"06/06/2021 09:50:01",4827
81,4825,1170,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:50:01",0,"06/06/2021 09:50:01",4825
81,4829,1171,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:50:08",0,"06/06/2021 09:50:08",4829
81,4830,1171,11,132.77,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:50:08",0,"06/06/2021 09:50:08",4830
81,4828,1171,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:50:08",0,"06/06/2021 09:50:08",4828
81,4832,1172,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:50:11",0,"06/06/2021 09:50:11",4832
81,4833,1172,11,121.78,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:50:11",0,"06/06/2021 09:50:11",4833
81,4831,1172,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:50:11",0,"06/06/2021 09:50:11",4831
81,4835,1173,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:50:21",0,"06/06/2021 09:50:21",4835
81,4836,1173,11,100.38,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:50:21",0,"06/06/2021 09:50:21",4836
81,4834,1173,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:50:21",0,"06/06/2021 09:50:21",4834
81,4838,1174,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:50:26",0,"06/06/2021 09:50:26",4838
81,4839,1174,11,112.05,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:50:26",0,"06/06/2021 09:50:26",4839
81,4837,1174,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:50:26",0,"06/06/2021 09:50:26",4837
81,4841,1175,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:50:40",0,"06/06/2021 09:50:40",4841
81,4842,1175,11,110.61,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:50:40",0,"06/06/2021 09:50:40",4842
81,4840,1175,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:50:40",0,"06/06/2021 09:50:40",4840
81,4844,1176,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:50:47",0,"06/06/2021 09:50:47",4844
81,4845,1176,11,154.10,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:50:47",0,"06/06/2021 09:50:47",4845
81,4843,1176,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:50:47",0,"06/06/2021 09:50:47",4843
81,4847,1177,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:50:54",0,"06/06/2021 09:50:54",4847
81,4848,1177,11,131.51,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:50:54",0,"06/06/2021 09:50:54",4848
81,4846,1177,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:50:54",0,"06/06/2021 09:50:54",4846
81,4850,1178,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:50:59",0,"06/06/2021 09:50:59",4850
81,4851,1178,11,117.56,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:50:59",0,"06/06/2021 09:50:59",4851
81,4849,1178,14,1,,"SEX","Sex",1,"CODE","Male","f1f9206994e82d08","<not set>","06/06/2021 09:50:59",0,"06/06/2021 09:50:59",4849
81,4853,1179,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","f1f9206994e82d08","<not set>","06/06/2021 09:51:03",0,"06/06/2021 09:51:03",4853
81,4854,1179,11,118.30,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"f1f9206994e82d08","<not set>","06/06/2021 09:51:03",0,"06/06/2021 09:51:03",4854
