HAUL_ID,SPECIMEN_BIOMETRIC_ID,SPECIMEN_ID,BIOMETRIC_ID,VALUE,UNITS,BIOMETRIC_NAME,COMPOSITE_NAME,BIOMETRIC_TYPE_ID,BIOMETRIC_TYPE,CODE_VALUE_MEANING,RECORDING_DEVICE,RECORDER,RECORD_TIMESTAMP,DATABASE_STATUS,STATUS_TIMESTAMP,DEVICE_RECORD_ID
64,5816,1488,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","110d9296d13b8ec4","<not set>","03/28/2023 17:47:31",0,"03/28/2023 17:47:31",5816
64,5817,1488,11,103.5,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"110d9296d13b8ec4","<not set>","03/28/2023 17:47:31",0,"03/28/2023 17:47:31",5817
64,5815,1488,14,1,,"SEX","Sex",1,"CODE","Male","110d9296d13b8ec4","<not set>","03/28/2023 17:47:31",0,"03/28/2023 17:47:31",5815
64,5819,1489,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","110d9296d13b8ec4","<not set>","03/28/2023 17:47:43",0,"03/28/2023 17:47:43",5819
64,5820,1489,11,102.9,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"110d9296d13b8ec4","<not set>","03/28/2023 17:47:43",0,"03/28/2023 17:47:43",5820
64,5818,1489,14,1,,"SEX","Sex",1,"CODE","Male","110d9296d13b8ec4","<not set>","03/28/2023 17:47:43",0,"03/28/2023 17:47:43",5818
64,5825,1491,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","110d9296d13b8ec4","<not set>","03/28/2023 17:47:57",0,"03/28/2023 17:47:57",5825
64,5826,1491,11,98.6,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"110d9296d13b8ec4","<not set>","03/28/2023 17:47:57",0,"03/28/2023 17:47:57",5826
64,5824,1491,14,1,,"SEX","Sex",1,"CODE","Male","110d9296d13b8ec4","<not set>","03/28/2023 17:47:57",0,"03/28/2023 17:47:57",5824
64,5828,1492,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","110d9296d13b8ec4","<not set>","03/28/2023 17:48:04",0,"03/28/2023 17:48:04",5828
64,5829,1492,11,152.8,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"110d9296d13b8ec4","<not set>","03/28/2023 17:48:04",0,"03/28/2023 17:48:04",5829
64,5827,1492,14,1,,"SEX","Sex",1,"CODE","Male","110d9296d13b8ec4","<not set>","03/28/2023 17:48:04",0,"03/28/2023 17:48:04",5827
64,5831,1493,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","110d9296d13b8ec4","<not set>","03/28/2023 17:48:11",0,"03/28/2023 17:48:11",5831
64,5832,1493,11,119.8,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"110d9296d13b8ec4","<not set>","03/28/2023 17:48:11",0,"03/28/2023 17:48:11",5832
64,5830,1493,14,1,,"SEX","Sex",1,"CODE","Male","110d9296d13b8ec4","<not set>","03/28/2023 17:48:11",0,"03/28/2023 17:48:11",5830
64,5837,1495,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","110d9296d13b8ec4","<not set>","03/28/2023 17:48:22",0,"03/28/2023 17:48:22",5837
