HAUL_ID,SPECIMEN_BIOMETRIC_ID,SPECIMEN_ID,BIOMETRIC_ID,VALUE,UNITS,BIOMETRIC_NAME,COMPOSITE_NAME,BIOMETRIC_TYPE_ID,BIOMETRIC_TYPE,CODE_VALUE_MEANING,RECORDING_DEVICE,RECORDER,RECORD_TIMESTAMP,DATABASE_STATUS,STATUS_TIMESTAMP,DEVICE_RECORD_ID
59,8640,1927,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:15",0,"02/08/2023 10:36:15",8640
59,8641,1927,11,123,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:15",0,"02/08/2023 10:36:15",8641
59,8639,1927,14,1,,"SEX","Sex",1,"CODE","Male","2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:15",0,"02/08/2023 10:36:15",8639
59,8643,1928,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:20",0,"02/08/2023 10:36:20",8643
59,8644,1928,11,74,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:20",0,"02/08/2023 10:36:20",8644
59,8642,1928,14,1,,"SEX","Sex",1,"CODE","Male","2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:20",0,"02/08/2023 10:36:20",8642
59,8646,1929,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:24",0,"02/08/2023 10:36:24",8646
59,8647,1929,11,96,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:24",0,"02/08/2023 10:36:24",8647
59,8645,1929,14,1,,"SEX","Sex",1,"CODE","Male","2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:24",0,"02/08/2023 10:36:24",8645
59,8649,1930,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:30",0,"02/08/2023 10:36:30",8649
59,8650,1930,11,112,"MM","CARAPACE_LENGTH","Carapace Length",5,"FLOAT",,"2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:30",0,"02/08/2023 10:36:30",8650
59,8648,1930,14,1,,"SEX","Sex",1,"CODE","Male","2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:30",0,"02/08/2023 10:36:30",8648
59,8652,1931,5,2,,"CRAB_SHELL_CONDITION","Shell Condition",1,"CODE","Firm to hard, clean","2a074d474ebdc762","Richar, Jon","02/08/2023 10:36:35",0,"02/08/2023 10:36:35",8652
