VESSEL,SPN,BUOY,DATE_HAUL,MaleTanner,FemaleTanner,MaleSnow,FemaleSnow,MaleHybrid,FemaleHybrid,HairCrab,PacificCod,Halibut,GreatSculpin,YellowfinSole,Other
162,1,X80,3/19/2023,,,,,,,,1,,,1,ADFG_B_224
162,2,X47,3/19/2023,,,,,,,,1,,,1,
162,3,X43,3/19/2023,,,,,,,,7,,,2,ADFG_B_219
162,4,X47,3/19/2023,,,,,,,,4,,,7,
162,5,X36,3/19/2023,,,,,,,,3,,,2,ABSC_Y_378
162,6,XI27,3/19/2023,,,,,,,,4,,,5,
162,7,X53,3/19/2023,,,,,,,,3,,,8,ADFG_B_246
162,8,X89,3/20/2023,,,,,,,,4,,,6,
162,9,X115,3/20/2023,,,,,,,,1,,,9,ADFG_B_244
162,10,X93,3/20/2023,,,,,,,,2,,,3,
162,11,X66,3/20/2023,,,,,,,,4,,,1,ABSC_Y_323
162,12,XX11,3/20/2023,,,,,,,,2,,,4,
162,13,X78,3/20/2023,1,,,,,,,3,,,1,ADFG_B_225
162,14,X97,3/20/2023,,,,,,,,6,,,3,
162,15,XZ14,3/20/2023,,,,,,,,4,,,3,
162,16,XZ5,3/20/2023,,,,,,,,12,,,2,ADFG_B_253
162,17,X125,3/20/2023,,,,,,,,5,,,,
162,18,X22,3/20/2023,,,,,,,,16,,,2,ABSC_Y_319
162,19,X34,3/20/2023,,,,,,,,2,,,5,
162,20,X60,3/20/2023,,,,,,,,7,,,1,
162,21,XDL,3/21/2023,,,,,,,,,,,3,ADFG_B_233
162,22,XF18,3/21/2023,1,,,,,,,1,,,1,
162,23,X75,3/21/2023,,,,,,,,1,,,3,ADFG_B_243
162,24,XJW,3/21/2023,1,,,,,,,2,,,,
162,25,XVI,3/21/2023,,,,,,,,3,,,,ABSC_Y_408
162,26,X64,3/21/2023,,,,,,,,2,,,,
162,27,X116,3/20/2023,,,,,,,,2,,,2,ADFG_B_232
162,28,XNICK,3/20/2023,2,,,,,,,4,,,4,
162,29,X48,3/20/2023,,,,,,,,3,,,,
162,30,X117,3/20/2023,,,,,,,,2,,,6,ABSC_Y_398
162,31,X163,3/20/2023,,,,,,,,3,,,6,
162,32,X129,3/20/2023,,,,,,,,3,,,1,
162,33,X106,3/20/2023,,,,,,,,5,,,,ADFG_B_257
162,34,X104,3/20/2023,,,,,,,,4,,,2,
162,35,X123,3/20/2023,,,,,,,,,,,3,ABSC_Y_409
162,36,X31,3/20/2023,,,,,,,,4,,,3,
162,37,X69,3/20/2023,1,,,,,,,4,,,2,
162,38,X77,3/20/2023,,,,,,,,4,,,,
162,39,X46,3/20/2023,,,,,,,,5,,,,ADFG_B_256
162,40,X12,3/20/2023,,,,,,,,2,,,,
162,41,X60,3/23/2023,,,,,,,,2,,,,
162,42,X34,3/23/2023,,,,,,,,,,,1,
162,43,X22,3/23/2023,,,,,,,,,,,2,ABSC_Y_319
162,44,X125,3/23/2023,,,,,,,,1,,,2,
162,45,XZ5,3/23/2023,,,,,,,,1,,,,ADFG_B_253
162,46,XZ14,3/23/2023,,,,,,,,,,,8,
162,47,X97,3/23/2023,,,,,,,,2,,,4,
162,48,X78,3/23/2023,,,,,,,,1,,,4,ADFG_B_225
162,49,XX11,3/23/2023,,,,,,,,1,,,1,
162,50,X66,3/23/2023,1,,,,,,,,,1,5,ABSC_Y_323
162,51,X93,3/23/2023,,,,,,,,7,,,4,
162,52,X115,3/23/2023,,,,,,,,3,,,4,ADFG_B_244
162,53,X89,3/23/2023,,,,,,,,3,,,2,
162,54,X53,3/23/2023,,,,,,,,1,,,2,ADFG_B_246
162,55,XI27,3/23/2023,1,,,,,,,1,,1,2,
162,56,X36,3/23/2023,,,,,,,,2,,,,ABSC_Y_378
162,57,X47,3/23/2023,,,,,,,,2,,,1,
162,58,X43,3/23/2023,,,,,,,,2,,1,1,ADFG_B_219
162,59,X47,3/23/2023,,,,,,,,,,,1,
162,60,X80,3/23/2023,,,,,,,,1,,,1,ADFG_B_224
162,61,X80,3/25/2023,,,,,,,,5,,,,ADFG_B_224
162,62,X47,3/25/2023,,,,,,,,1,,,1,
162,63,X43,3/25/2023,,,,,,,,2,,,,ADFG_B_219
162,64,X47,3/25/2023,1,,,,,,,2,,,1,
162,65,X36,3/25/2023,,,,,,,,1,,1,3,ABSC_Y_378
162,66,XT27,3/25/2023,2,,,,,,,1,,,3,
162,67,X53,3/25/2023,3,,,,,,,1,,,,1 SKATE; ADFG_B_246
162,68,X68,3/25/2023,3,,,,,,,2,,,1,
162,69,X115,3/25/2023,3,,1,,,,,2,,,,ADFG_B_244
162,70,X93,3/25/2023,2,,,,,,,1,,,,
162,71,X66,3/25/2023,,,,,,,,5,,,1,ABSC_Y_323
162,72,X78,3/25/2023,,,,,,,,1,,,1,ADFG_B_225
162,73,XX11,3/25/2023,,,,,,,,3,,,9,
162,74,XL6,3/25/2023,1,,,,,,,6,,,4,
162,75,XZ14,3/25/2023,,,,,,,,4,,,1,
162,76,XZ5,3/25/2023,,,,,,,,2,,,2,1 SKATE; ADFG_B_253
162,77,X125,3/25/2023,2,,,,,,,2,,,6,
162,78,X22,3/25/2023,,,,,,,,1,,1,1,ABSC_Y_319
162,79,X34,3/25/2023,,,,,,,,,,1,21,
162,80,X60,3/25/2023,2,,,,,,,3,,,48,
162,81,XDL,3/26/2023,1,,,,,,,1,,,,ADFG_B_233
162,82,XF18,3/26/2023,,,,,,,,2,,,,
162,83,X75,3/26/2023,,,,,,,,,,,,ADFG_B_243
162,84,XJW,3/26/2023,3,,,,,,,2,,,,
162,85,XVI,3/26/2023,,,,,,,,2,,,,ABSC_Y_408
162,86,X64,3/26/2023,5,,,,,,,,,,6,
162,87,X116,3/26/2023,1,,,,,,,,,,2,ADFG_B_232
162,88,XNICK,3/26/2023,1,,,,,,,5,,,,
162,89,X48,3/26/2023,,,,,,,,1,,,2,
162,90,X117,3/26/2023,1,,,,,,,1,,,,ABSC_Y_398
162,91,X63,3/26/2023,,,,,,,,1,,,2,
162,92,X29,3/26/2023,2,,,,,,,1,,,2,
162,93,X106,3/26/2023,2,,,,,,,2,,,5,ADFG_B_257
162,94,X104,3/26/2023,,,,,,,,2,,,14,
162,95,X123,3/26/2023,,,,,,,,2,,1,1,ABSC_Y_409
162,96,X31,3/26/2023,,,,,,,,3,,,3,
162,97,X69,3/26/2023,,,,,,,,3,,,6,
162,98,X77,3/26/2023,,,,,,,,3,,1,2,
162,99,X46,3/26/2023,1,,,,,,,1,,,1,ADFG_B_256
162,100,X12,3/26/2023,,,,,,,,1,,,2,
162,101,X60,3/27/2023,1,,,,,,,3,,,1,
162,102,X34,3/27/2023,,,,,,,,3,,,2,
162,103,X22,3/27/2023,1,,,,,,,1,,,1,ABSC_Y_319
162,104,X125,3/27/2023,,,,,,,,2,,,,
162,105,XZ5,3/27/2023,,,,,,,,,,,3,ADFG_B_253
162,106,XZ14,3/27/2023,,,,,,,,,,1,3,
162,107,XL6,3/27/2023,,,,,,,,,,,2,
162,108,XX11,3/27/2023,1,,,,,,,,,,2,
162,109,X78,3/27/2023,,,,,,,,1,,,2,ADFG_B_225; hotspot release 
162,110,X66,3/27/2023,,,,,,,,3,,,4,ABSC_Y_323
162,111,X93,3/27/2023,,,,,,,,1,,,1,
162,112,X115,3/27/2023,,,,,,,,,,,3,ADFG_B_244
162,113,X68,3/27/2023,,,,,,,,2,,,2,
162,114,X53,3/27/2023,,,,,,,,4,,,1,ADFG_B_246
162,115,XT27,3/27/2023,,,,,,,,5,,,2,
162,116,X36,3/27/2023,,,,,,,,2,,,3,ABSC_Y_378
162,117,X47,3/27/2023,,,,,,,,3,,,1,
162,118,X43,3/27/2023,,,,,,,,5,,,3,ADFG_B_219
162,119,X47,3/27/2023,,,,,,,,,,,1,
162,120,X80,3/27/2023,,,,,,,,,,,,ADFG_B_224
162,121,X12,3/28/2023,2,,,,,,,2,,,5,
162,122,X46,3/28/2023,,,,,,,,1,,,1,ADFG_B_256
162,123,X77,3/28/2023,3,,,,,,,1,,,,
162,124,X69,3/28/2023,3,,,,,,,1,,,,
