VESSEL,SPN,POT_ID,BUOY,DATE_SET,TIME_SET,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,DEPTH_F,DATE_HAUL,TIME_HAUL,GEAR_CODE,NOTES
162,1,F59,X80,3/18/2023,16:53,55,52.96,162,0.57,15.8,3/19/2023,21:47,,ADFG_B_224
162,2,F58,X47,3/18/2023,17:09,55,54.94,162,0.53,19.6,3/19/2023,22:08,,
162,3,F57,X43,3/18/2023,17:27,55,56.94,162,0.43,24,3/19/2023,22:28,,ADFG_B_219
162,4,F56,X47,3/18/2023,17:44,55,58.95,162,0.34,26.7,3/19/2023,22:47,,
162,5,F55,X36,3/18/2023,18:01,56,0.91,162,0.33,29.8,3/19/2023,23:08,,ABSC_Y_378
162,6,F54,XI27,3/18/2023,18:18,56,2.92,162,0.17,31.1,3/19/2023,23:27,,
162,7,F53,X53,3/18/2023,18:36,56,4.9,162,0.12,33.6,3/19/2023,23:48,,ADFG_B_246
162,8,F52,X89,3/18/2023,18:54,56,6.89,162,0.05,34.1,3/20/2023,0:10,,
162,9,F51,X115,3/18/2023,19:12,56,8.88,161,59.92,33.9,3/20/2023,0:31,,ADFG_B_244
162,10,F50,X93,3/18/2023,19:30,56,10.89,161,59.89,37.9,3/20/2023,0:55,,
162,11,F49,X66,3/18/2023,19:48,56,12.86,161,59.81,41.5,3/20/2023,1:17,,ABSC_Y_323
162,12,F48,XX11,3/18/2023,20:05,56,14.88,161,59.77,43.6,3/20/2023,1:38,,
162,13,F47,X78,3/18/2023,20:22,56,16.85,161,59.7,45.1,3/20/2023,2:09,,ADFG_B_225
162,14,F46,X97,3/18/2023,20:42,56,18.88,161,59.64,45.2,3/20/2023,2:28,,
162,15,F45,XZ14,3/18/2023,21:01,56,20.86,161,59.56,45,3/20/2023,2:50,,
162,16,F44,XZ5,3/18/2023,21:20,56,22.75,161,59.39,43.6,3/20/2023,3:11,,ADFG_B_253
162,17,F43,X125,3/18/2023,21:40,56,24.82,161,59.37,40.9,3/20/2023,3:33,,
162,18,F42,X22,3/18/2023,22:01,56,26.81,161,59.3,40.8,3/20/2023,3:54,,ABSC_Y_319
162,19,F41,X34,3/18/2023,22:22,56,28.8,161,59.21,42.5,3/20/2023,4:13,,
162,20,F40,X60,3/18/2023,22:44,56,30.8,161,59.1,34.7,3/20/2023,4:35,,
162,21,G55,XDL,3/19/2023,9:00,56,0.46,161,33.4,16.8,3/21/2023,1:46,,ADFG_B_233
162,22,G54,XF18,3/19/2023,9:19,56,2.48,161,33.4,16.9,3/21/2023,1:24,,
162,23,G53,X75,3/19/2023,9:38,56,4.47,161,33.34,23.9,3/21/2023,1:04,,ADFG_B_243
162,24,G52,XJW,3/19/2023,9:56,56,6.48,161,33.28,25.7,3/21/2023,0:41,,
162,25,G51,XVI,3/19/2023,10:13,56,8.48,161,33.11,28,3/21/2023,0:18,,ABSC_Y_408
162,26,G50,X64,3/19/2023,10:31,56,10.46,161,33,29.4,3/20/2023,23:57,,
162,27,G49,X116,3/19/2023,10:50,56,12.47,161,32.87,30.5,3/20/2023,23:35,,ADFG_B_232
162,28,G48,XNICK,3/19/2023,11:09,56,14.47,161,32.8,32.8,3/20/2023,23:15,,
162,29,G47,X48,3/19/2023,11:28,56,16.46,161,32.68,33,3/20/2023,22:54,,
162,30,G46,X117,3/19/2023,11:46,56,18.42,161,32.61,33.6,3/20/2023,22:33,,ABSC_Y_398
162,31,G45,X163,3/19/2023,12:05,56,20.44,161,32.47,33.7,3/20/2023,22:10,,
162,32,G44,X129,3/19/2023,12:25,56,22.47,161,32.43,35.8,3/20/2023,21:46,,
162,33,G43,X106,3/19/2023,12:43,56,24.41,161,32.33,34.7,3/20/2023,21:23,,ADFG_B_257
162,34,G42,X104,3/19/2023,13:02,56,26.4,161,32.22,34.8,3/20/2023,20:59,,
162,35,G41,X123,3/19/2023,13:21,56,28.43,161,32.08,35.9,3/20/2023,20:32,,ABSC_Y_409
162,36,G40,X31,3/19/2023,13:40,56,30.42,161,31.98,34.9,3/20/2023,20:07,,
162,37,G39,X69,3/19/2023,13:58,56,32.4,161,31.89,40.9,3/20/2023,19:44,,
162,38,G38,X77,3/19/2023,14:17,56,34.38,161,31.8,35.7,3/20/2023,19:19,,
162,39,G37,X46,3/19/2023,14:35,56,36.38,161,31.63,40,3/20/2023,18:55,,ADFG_B_256
162,40,G36,X12,3/19/2023,14:53,56,38.36,161,31.55,44,3/20/2023,18:30,,
162,41,H53,X60,3/20/2023,10:32,56,6.05,161,6.4,15.6,3/23/2023,8:28,,
162,42,H52,X34,3/20/2023,10:48,56,8.02,161,6.27,17.7,3/23/2023,8:48,,
162,43,H51,X22,3/20/2023,11:06,56,9.99,161,6.17,20.1,3/23/2023,9:08,,ABSC_Y_319
162,44,H50,X125,3/20/2023,11:20,56,12,161,6.04,22,3/23/2023,9:27,,
162,45,H49,XZ5,3/20/2023,11:36,56,13.92,161,5.89,24.4,3/23/2023,9:46,,ADFG_B_253
162,46,H48,XZ14,3/20/2023,11:52,56,15.9,161,5.8,26,3/23/2023,10:08,,
162,47,H47,X97,3/20/2023,12:08,56,17.95,161,5.67,27.2,3/23/2023,10:30,,
162,48,H46,X78,3/20/2023,12:23,56,19.92,161,5.49,28.2,3/23/2023,10:50,,ADFG_B_225
