VESSEL,DISK,SAT_TAG_NO,PTT_ID,DATE,CAPTURE_SPN,LENGTH_MM,SC,SEX,INJURIES,LAT_DEG,LAT_MIN,LON_DEG,LON_MIN,NOTES
162,927,22V0632,241646,3/20/2023,6,138.39,2,M,N,56,11.5475,162,0.0017,
162,928,23P0062,241494,3/20/2023,40,128.2,2,M,N,56,29.6139,161,31.9035,
162,929,22U0990,241676,3/20/2023,29,152.83,2,M,N,56,8.954,161,33.0915,
162,930,22U1015,241699,3/23/2023,46,150.04,2,M,N,56,25.9861,161,4.9976,
162,931,22U0656,241650,3/23/2023,57,151,2,M,N,56,43.189,161,4.0003,
162,932,23P0093,241503,3/25/2023,63,146.8,2,M,N,56,29.7313,162,26.3958,
162,933,22U1004,241689,3/25/2023,71,139.84,2,M,N,56,50.1488,162,25.8129,
162,934,23P0069,241499,3/26/2023,84,159.85,2,M,N,56,30.3318,162,53.3825,
162,935,22U0653,241649,3/26/2023,92,130.21,2,M,N,56,50.3861,162,52.9614,
162,936,22U0988,241675,3/27/2023,104,138.67,2,M,N,56,9.4805,162,26.8575,
162,957,22U0881,241658,3/27/2023,107-08,151.41,2,M,N,56,3.0614,162,27.1976,Hotspot release
162,958,23P0059,241491,3/27/2023,107-08,154.77,2,M,N,56,3.2076,162,27.0563,Hotspot release
162,959,22U0614,241629,3/27/2023,107-08,123.48,2,M,N,56,3.3229,162,26.9287,Hotspot release
162,960,22U0897,241671,3/27/2023,107-08,130.93,2,M,N,56,3.1468,162,26.9303,Hotspot release
162,961,22U1002,241687,3/27/2023,107-08,123.49,2,M,N,56,3.1984,162,26.9679,Hotspot release
162,962,22U0887,241662,3/28/2023,139,157.43,2,M,N,56,30.5951,163,20.3821,
162,963,22U0890,241665,3/28/2023,131,141.93,2,M,N,56,43.331,163,20.3374,Hotspot release
162,964,23P0052,241485,3/28/2023,131,122.13,2,M,N,56,43.3549,163,20.3719,Hotspot release
162,965,22U0619,241634,3/28/2023,131,122.69,2,M,N,56,43.3616,163,20.3822,Hotspot release
162,966,22U0610,241627,3/28/2023,131,159.5,2,M,N,56,43.3164,163,20.3204,Hotspot release
162,956,22U0999,241684,3/28/2023,131,154.88,2,M,N,56,43.3798,163,20.3852,Hotspot release
162,955,22U0617,241632,3/28/2023,125,133.91,2,M,N,56,58.4161,163,20.3557,
162,954,22U0902,241674,3/30/2023,171,134.01,2,M,N,56,42.5498,163,47.6241,
162,953,23P0056,241488,3/30/2023,164,128.68,2,M,N,57,1.0022,163,48.5698,
162,952,23P0051,241484,4/2/2023,223,146.22,2,M,N,55,29.9225,162,55.5271,nearshore
162,951,22U0623,241638,4/5/2023,301-303,149.57,2,M,N,56,10.3565,162,26.7672,Hotspot release
162,950,22U0624,241639,4/5/2023,301-303,124.72,2,M,N,56,10.3565,162,26.7672,Hotspot release
162,949,22U0625,241640,4/5/2023,301-303,155.92,2,M,N,56,10.3565,162,26.7672,Hotspot release
162,948,23P0055,241487,4/5/2023,301-303,122.67,2,M,N,56,10.3565,162,26.7672,Hotspot release
162,947,22U0878,241655,4/5/2023,301-303,160.15,2,M,N,56,10.3565,162,26.7672,Hotspot release
162,946,22U1001,241686,4/5/2023,301-303,121.34,2,M,N,56,10.3565,162,26.7672,Hotspot release
162,945,22U0894,241668,4/5/2023,301-303,121.69,2,M,N,56,10.3565,162,26.7672,Hotspot release
162,944,22U0879,241656,4/5/2023,301-303,160.99,2,M,N,56,10.3565,162,26.7672,Hotspot release
162,943,22U0620,241635,4/5/2023,301-303,165.81,2,M,N,56,10.3565,162,26.7672,Hotspot release
162,942,22U1019,241703,4/5/2023,301-303,124.33,2,M,N,56,10.3565,162,26.7672,Hotspot release
