"CRUISEJOIN","HAULJOIN","REGION","SURVEY_YEAR","VESSEL","CRUISE","HAUL","HAUL_TYPE","PERFORMANCE","START_TIME","DURATION","DISTANCE_FISHED","NET_WIDTH","NET_MEASURED","NET_HEIGHT","STRATUM","START_LATITUDE","END_LATITUDE","START_LONGITUDE","END_LONGITUDE","MID_LATITUDE","MID_LONGITUDE","STATIONID","GIS_STATION","GEAR_DEPTH","BOTTOM_DEPTH","BOTTOM_TYPE","SURFACE_TEMPERATURE","GEAR_TEMPERATURE","WIRE_LENGTH","GEAR","ACCESSORIES","SUBSAMPLE"
-759,-22849,"BS",2023,162,202301,180,3,0,19-JUL-23,0.459,2.577,18.266,"Y",2.115,43,60.35421,60.33107,-174.077,-174.08042,60.34264,-174.07871,"Q-26","Q-26",87,89,"",9.5,-0.1,320,"44","15","1"
-759,-22850,"BS",2023,162,202301,181,3,0,19-JUL-23,0.504,2.794,18.034,"Y",1.934,43,60.18326,60.15816,-174.35368,-174.35658,60.17071,-174.35513,"QP2726","QP2726",97,99,"",9.7,0.5,320,"44","15","1"
-759,-22856,"BS",2023,162,202301,182,3,0,20-JUL-23,0.516,2.918,17.778,"N",1.848,43,59.84203,59.82258,-173.56734,-173.60223,59.83231,-173.58479,"PO2625","PO2625",93,95,"",9.3,1.2,320,"44","15","1"
-759,-22858,"BS",2023,162,202301,183,3,0,20-JUL-23,0.493,2.699,18.105,"Y",2.04,62,59.66684,59.68641,-173.85805,-173.88632,59.67663,-173.87219,"O-26","O-26",102,104,"",9.7,0.9,320,"44","15","1"
-759,-22863,"BS",2023,162,202301,185,3,0,20-JUL-23,0.491,2.717,17.649,"Y",2.075,62,59.9853,60.0088,-174.58853,-174.60193,59.99705,-174.59523,"P-27","P-27",105,107,"",9.4,1.1,320,"44","15","1"
-759,-22873,"BS",2023,162,202301,187,3,0,21-JUL-23,0.497,2.718,17.829,"Y",2.032,62,59.33221,59.30782,-174.43695,-174.43341,59.32002,-174.43518,"N-27","N-27",118,120,"",9.8,2,366,"44","15","1"
-759,-22874,"BS",2023,162,202301,188,3,0,21-JUL-23,0.519,2.864,17.923,"Y",2.012,62,59.33391,59.35969,-173.80457,-173.8043,59.3468,-173.80444,"N-26","N-26",108,110,"",9.5,1.8,366,"44","15","1"
-759,-22875,"BS",2023,162,202301,189,3,1.11,21-JUL-23,0.3,1.574,17.434,"Y",2.034,43,59.4951,59.50925,-173.50558,-173.50686,59.50218,-173.50622,"ON2625","ON2625",100,102,"",10.5,1.6,366,"44","15","1"
-759,-22888,"BS",2023,162,202301,190,3,0,22-JUL-23,0.491,2.715,17.274,"Y",2.427,61,59.00107,59.00412,-173.70266,-173.74939,59.0026,-173.72603,"M-26","M-26",115,117,"",9.8,2.6,366,"44","15","2"
-759,-22889,"BS",2023,162,202301,191,3,0,22-JUL-23,0.434,2.48,17.608,"Y",2.337,61,59.00252,59.00645,-174.36496,-174.40732,59.00449,-174.38614,"M-27","M-27",124,126,"",9.7,2.4,411,"44","15","2"
-759,-22890,"BS",2023,162,202301,192,3,0,22-JUL-23,0.492,2.713,17.624,"Y",2.296,61,59.0098,59.01154,-175.00678,-175.05375,59.01067,-175.03027,"M-28","M-28",127,129,"",9.5,2.4,411,"44","15","2"
-759,-22627,"BS",2023,162,202301,142,3,0,30-JUN-23,0.234,1.329,17.268,"Y",2.083,50,56.43617,56.43468,-169.49041,-169.51175,56.43543,-169.50108,"E-20","E-20",100,102,"",7.9,4.2,320,"44","15","1"
-759,-22628,"BS",2023,162,202301,143,3,0,30-JUN-23,0.542,3.037,18.063,"N",1.535,50,56.33885,56.34009,-170.05474,-170.1037,56.33947,-170.07922,"E-21","E-21",107,109,"",7.6,4.2,366,"44","15","1"
-759,-22607,"BS",2023,162,202301,137,3,0,29-JUN-23,0.535,2.938,16.686,"Y",1.84,42,57.51092,57.48514,-169.37102,-169.38195,57.49803,-169.37649,"IH2019","IH2019",68,70,"",6.5,2.3,229,"44","15","1"
-759,-22608,"BS",2023,162,202301,138,3,0,29-JUN-23,0.53,2.899,17.267,"N",1.832,42,57.34971,57.32369,-169.59165,-169.59499,57.3367,-169.59332,"H-20","H-20",62,64,"",6.5,1.7,229,"44","15","2"
-759,-22609,"BS",2023,162,202301,139,3,0,29-JUN-23,0.545,3.002,17.641,"N",1.693,42,57.16973,57.18223,-169.30979,-169.35369,57.17598,-169.33174,"HG2019","HG2019",70,72,"",7.2,2.6,274,"44","15","1"
-759,-22625,"BS",2023,162,202301,140,3,0,30-JUN-23,0.533,2.983,17.498,"N",1.971,32,56.84035,56.81397,-169.30373,-169.29471,56.82716,-169.29922,"GF2019","GF2019",78,80,"",7.3,3.8,274,"44","15","2"
-759,-22626,"BS",2023,162,202301,141,3,0,30-JUN-23,0.546,3.076,17.542,"N",1.885,32,56.67598,56.64842,-169.5043,-169.50903,56.6622,-169.50667,"F-20","F-20",77,79,"",6.1,4,274,"44","15","2"
