"","CRUISEJOIN","HAULJOIN","REGION","SURVEY_YEAR","VESSEL","CRUISE","HAUL","HAUL_TYPE","PERFORMANCE","START_TIME","DURATION","DISTANCE_FISHED","NET_WIDTH","NET_MEASURED","NET_HEIGHT","STRATUM","START_LATITUDE","END_LATITUDE","START_LONGITUDE","END_LONGITUDE","MID_LATITUDE","MID_LONGITUDE","STATIONID","GIS_STATION","GEAR_DEPTH","BOTTOM_DEPTH","BOTTOM_TYPE","SURFACE_TEMPERATURE","GEAR_TEMPERATURE","WIRE_LENGTH","GEAR","ACCESSORIES","SUBSAMPLE"
"1",965532,965744,"BS",1999,89,199901,193,17,0,"14-JUL-99",0.52,2.852,17.05,"N",2.098,10,57.6628,57.67434,-162.77,-162.7285,57.66857,-162.74925,"I-09","I-09",43,45,NA,6.3,3.7,183,44,15,2
"2",965532,965715,"BS",1999,89,199901,194,17,0,"14-JUL-99",0.52,2.984,17.274,"Y",2.148,10,57.65436,57.63255,-162.1569,-162.1298,57.64346,-162.14335,"I-10","I-10",44,46,NA,6.8,3.2,183,44,15,2
"3",965532,965747,"BS",1999,89,199901,195,17,0,"15-JUL-99",0.51,2.865,17.05,"N",2.097,10,57.66359,57.641,-161.5133,-161.5329,57.6523,-161.5231,"I-11","I-11",51,53,NA,4.7,2.8,183,44,15,2
"4",965532,965716,"BS",1999,89,199901,196,17,0,"15-JUL-99",0.53,2.949,17.778,"N",1.909,31,57.65401,57.62918,-160.8989,-160.8852,57.6416,-160.89205,"I-12","I-12",55,57,NA,5.8,2.8,229,44,15,2
"5",965532,965714,"BS",1999,89,199901,197,17,0,"15-JUL-99",0.51,2.773,17.05,"N",1.956,31,57.65231,57.62786,-160.2696,-160.2728,57.64009,-160.2712,"I-13","I-13",53,55,NA,3.9,3.2,183,44,15,2
"6",965532,965717,"BS",1999,89,199901,198,17,0,"15-JUL-99",0.53,3.381,17.778,"N",1.885,31,57.35294,57.33928,-160.315,-160.3551,57.34611,-160.33505,"H-13","H-13",58,60,NA,5.2,2.4,229,44,15,2
"7",965532,965718,"BS",1999,89,199901,199,17,0,"15-JUL-99",0.53,3.132,12.228,"Y",2.145,31,57.34075,57.34772,-160.9039,-160.9486,57.34424,-160.92625,"H-12","H-12",59,61,NA,7,1.8,229,44,15,2
"8",965532,965719,"BS",1999,89,199901,200,17,0,"16-JUL-99",0.54,2.938,17.635,"Y",2.076,31,57.33322,57.31746,-161.5291,-161.56689,57.32534,-161.548,"H-11","H-11",55,55,NA,5.2,NA,229,44,15,2
"9",965532,965720,"BS",1999,89,199901,201,17,0,"16-JUL-99",0.52,2.918,17.588,"Y",2.136,10,57.328,57.32897,-162.1267,-162.1741,57.32849,-162.1504,"H-10","H-10",48,50,NA,6.7,3,183,44,15,2
"10",965532,965721,"BS",1999,89,199901,202,17,0,"16-JUL-99",0.52,2.789,17.709,"Y",1.955,10,57.3229,57.29824,-162.7381,-162.7355,57.31057,-162.7368,"H-09","H-09",48,50,NA,7.6,2.3,183,44,15,2
"11",965532,965748,"BS",1999,89,199901,203,17,0,"16-JUL-99",0.53,2.843,17.975,"Y",2.127,31,57.01117,56.98587,-162.7976,-162.7965,56.99852,-162.79705,"G-09","G-09",59,61,NA,9.3,1.3,229,44,15,2
"12",965532,965722,"BS",1999,89,199901,204,17,0,"16-JUL-99",0.51,2.79,17.775,"Y",2.003,31,56.68952,56.68889,-162.7675,-162.7228,56.68921,-162.74515,"F-09","F-09",68,70,NA,9.3,1.5,229,44,15,2
"13",965532,965723,"BS",1999,89,199901,205,17,0,"17-JUL-99",0.52,2.794,17.697,"Y",2.202,31,56.67768,56.70185,-162.2065,-162.2146,56.68977,-162.21055,"F-10","F-10",68,70,NA,9.2,1,229,44,15,2
"14",965532,965724,"BS",1999,89,199901,206,17,0,"17-JUL-99",0.53,2.845,17.437,"Y",1.875,31,56.99001,56.98763,-162.1722,-162.1262,56.98882,-162.1492,"G-10","G-10",59,61,NA,8.7,1.6,229,44,15,2
