"","EBS","NBS","EBS_NBS","BBRKC","PribRKC","NorthRKC","PribBKC","StMattBKC","TannerE","TannerW","Snow","Hybrid","Hair","NSRKC","BKCNBS","TannerNBS","SnowNBS","HybridNBS","HairNBS"
"1","H-13","NBS-8","H-13","A-02","C-18","L-01","C-01","M-24","A-04","A-02","A-02","A-02","A-02","AA-02","NBS-8","NBS-8","NBS-8","NBS-8","NBS-8"
"2","I-20","NBS-14","I-20","A-03","D-18","L-02","C-18","M-25","A-05","A-03","A-03","A-03","A-03","AA-03","NBS-14","NBS-14","NBS-14","NBS-14","NBS-14"
"3","A-03","NBS-19","A-03","A-04","E-18","L-03","D-01","M-26","A-06","B-01","A-04","A-04","A-04","AA-04","NBS-19","NBS-19","NBS-19","NBS-19","NBS-19"
"4","E-07","NBS-26","E-07","A-05","E-19","L-04","D-18","M-27","B-04","B-02","A-05","A-05","A-05","AA-05","NBS-26","NBS-26","NBS-26","NBS-26","NBS-26"
"5","G-09","NBS-27","G-09","A-06","E-20","L-05","E-01","M-28","B-05","B-03","A-06","A-06","A-06","AA-06","NBS-27","NBS-27","NBS-27","NBS-27","NBS-27"
"6","F-12","NBS-29","F-12","B-01","E-21","L-06","E-18","ML2726","B-06","C-01","B-01","B-01","B-01","AA-07","NBS-29","NBS-29","NBS-29","NBS-29","NBS-29"
"7","D-01","NBS-21","D-01","B-02","E-22","L-07","E-19","ML2827","B-07","C-02","B-02","B-02","B-02","AA-08","NBS-21","NBS-21","NBS-21","NBS-21","NBS-21"
"8","I-13","NBS-22","I-13","B-03","F-18","L-08","E-20","ML2928","B-08","C-03","B-03","B-03","B-03","AA-10","NBS-22","NBS-22","NBS-22","NBS-22","NBS-22"
"9","G-06","NBS-1","G-06","B-04","F-19","L-09","E-21","N-22","C-04","C-18","B-04","B-04","B-04","BB-02","NBS-1","NBS-1","NBS-1","NBS-1","NBS-1"
"10","I-09","NBS-2","I-09","B-05","F-20","L-18","E-22","N-23","C-05","D-01","B-05","B-05","B-05","BB-03","NBS-2","NBS-2","NBS-2","NBS-2","NBS-2"
"11","K-18","NBS-5","K-18","B-06","F-21","L-19","F-01","N-24","C-06","D-02","B-06","B-06","B-06","BB-04","NBS-5","NBS-5","NBS-5","NBS-5","NBS-5"
"12","IH2120","NBS-6","IH2120","B-07","F-22","L-20","F-18","N-25","C-07","D-03","B-07","B-07","B-07","BB-05","NBS-6","NBS-6","NBS-6","NBS-6","NBS-6"
"13","K-26","NBS-7","K-26","B-08","F-23","L-22","F-19","N-26","C-08","D-18","B-08","B-08","B-08","BB-06","NBS-7","NBS-7","NBS-7","NBS-7","NBS-7"
"14","J-11","NBS-12","J-11","C-01","F-24","M-01","F-20","N-27","C-09","E-01","C-01","C-01","C-01","BB-07","NBS-12","NBS-12","NBS-12","NBS-12","NBS-12"
"15","H-05","NBS-17","H-05","C-02","F-25","M-02","F-21","N-28","D-04","E-02","C-02","C-02","C-02","BB-08","NBS-17","NBS-17","NBS-17","NBS-17","NBS-17"
"16","D-02","NBS-10","D-02","C-03","FE2120","M-03","F-22","NM2524","D-05","E-03","C-03","C-03","C-03","BB-09","NBS-10","NBS-10","NBS-10","NBS-10","NBS-10"
"17","H-15","NBS-4","H-15","C-04","FE2221","M-04","F-23","NM2625","D-06","E-18","C-04","C-04","C-04","BB-10","NBS-4","NBS-4","NBS-4","NBS-4","NBS-4"
"18","G-05","NBS-15","G-05","C-05","G-18","M-05","F-24","NM2726","D-07","E-19","C-05","C-05","C-05","CC-02","NBS-15","NBS-15","NBS-15","NBS-15","NBS-15"
"19","J-03","NBS-23","J-03","C-06","G-19","M-06","F-25","NM2827","D-08","E-20","C-06","C-06","C-06","CC-03","NBS-23","NBS-23","NBS-23","NBS-23","NBS-23"
"20","G-25","NBS-31","G-25","C-07","G-20","M-07","FE2120","NM2928","D-09","E-21","C-07","C-07","C-07","CC-04","NBS-31","NBS-31","NBS-31","NBS-31","NBS-31"
"21","G-13","NBS-49","G-13","C-08","G-21","M-08","FE2221","O-22","D-10","E-22","C-08","C-08","C-08","CC-05","NBS-49","NBS-49","NBS-49","NBS-49","NBS-49"
"22","A-05","NBS-48","A-05","C-09","G-22","M-18","G-01","O-23","E-04","F-01","C-09","C-09","C-09","CC-06","NBS-48","NBS-48","NBS-48","NBS-48","NBS-48"
"23","G-20","NBS-43","G-20","D-01","G-23","M-19","G-18","O-24","E-05","F-02","C-18","C-18","C-18","CC-07","NBS-43","NBS-43","NBS-43","NBS-43","NBS-43"
"24","H-06","NBS-32","H-06","D-02","G-24","M-20","G-19","O-25","E-06","F-03","D-01","D-01","D-01","CC-08","NBS-32","NBS-32","NBS-32","NBS-32","NBS-32"
"25","I-18","NBS-33","I-18","D-03","G-25","M-22","G-20","O-26","E-07","F-18","D-02","D-02","D-02","CC-09","NBS-33","NBS-33","NBS-33","NBS-33","NBS-33"
"26","K-14","NBS-24","K-14","D-04","G-26","N-01","G-21","O-27","E-08","F-19","D-03","D-03","D-03","CC-10","NBS-24","NBS-24","NBS-24","NBS-24","NBS-24"
"27","E-03","NBS-9","E-03","D-05","GF1918","N-02","G-22","O-28","E-09","F-20","D-04","D-04","D-04","DD-02","NBS-9","NBS-9","NBS-9","NBS-9","NBS-9"
"28","J-08","NBS-25","J-08","D-06","GF2019","N-03","G-23","ON2524","E-10","F-21","D-05","D-05","D-05","DD-03","NBS-25","NBS-25","NBS-25","NBS-25","NBS-25"
"29","K-04","NBS-34","K-04","D-07","GF2120","N-04","G-24","ON2625","E-11","F-22","D-06","D-06","D-06","DD-09","NBS-34","NBS-34","NBS-34","NBS-34","NBS-34"
"30","C-04","NBS-44","C-04","D-08","GF2221","N-05","G-25","ON2726","E-12","F-23","D-07","D-07","D-07","EE-02","NBS-44","NBS-44","NBS-44","NBS-44","NBS-44"
"31","F-01","NBS-45","F-01","D-09","GF2322","N-06","G-26","ON2827","F-04","F-24","D-08","D-08","D-08","FF-02","NBS-45","NBS-45","NBS-45","NBS-45","NBS-45"
"32","J-14","NBS-36","J-14","D-10","GF2423","N-07","GF1918","ON2928","F-05","F-25","D-09","D-09","D-09","V-02","NBS-36","NBS-36","NBS-36","NBS-36","NBS-36"
"33","HG2221","NBS-46","HG2221","E-01","GF2524","N-18","GF2019","P-22","F-06","FE2120","D-10","D-10","D-10","V-03","NBS-46","NBS-46","NBS-46","NBS-46","NBS-46"
"34","K-27","NBS-47","K-27","E-02","H-18","N-19","GF2120","P-23","F-07","FE2221","D-18","D-18","D-18","W-02","NBS-47","NBS-47","NBS-47","NBS-47","NBS-47"
"35","E-08","NBS-37","E-08","E-03","H-19","N-20","GF2221","P-24","F-08","G-01","E-01","E-01","E-01","W-03","NBS-37","NBS-37","NBS-37","NBS-37","NBS-37"
"36","I-05","NBS-38","I-05","E-04","H-20","N-21","GF2322","P-25","F-09","G-02","E-02","E-02","E-02","X-02","NBS-38","NBS-38","NBS-38","NBS-38","NBS-38"
"37","C-07","NBS-39","C-07","E-05","H-21","N-22","GF2423","P-26","F-10","G-03","E-03","E-03","E-03","X-03","NBS-39","NBS-39","NBS-39","NBS-39","NBS-39"
"38","E-19","NBS-30","E-19","E-06","H-22","O-01","GF2524","P-27","F-11","G-18","E-04","E-04","E-04","Y-02","NBS-30","NBS-30","NBS-30","NBS-30","NBS-30"
"39","H-26","FF-18","H-26","E-07","H-23","O-02","H-01","P-28","F-12","G-19","E-05","E-05","E-05","Y-03","FF-18","FF-18","FF-18","FF-18","FF-18"
"40","I-22","FF-01","I-22","E-08","H-24","O-03","H-18","PO2423","F-13","G-20","E-06","E-06","E-06","Y-04","FF-01","FF-01","FF-01","FF-01","FF-01"
"41","H-09","FF-02","H-09","E-09","H-25","O-04","H-19","PO2524","F-14","G-21","E-07","E-07","E-07","ZZ-02","FF-02","FF-02","FF-02","FF-02","FF-02"
"42","G-15","EE-19","G-15","E-10","H-26","O-18","H-20","PO2625","G-04","G-22","E-08","E-08","E-08","ZZ-03","EE-19","EE-19","EE-19","EE-19","EE-19"
"43","K-01","EE-18","K-01","E-11","HG1918","O-19","H-21","PO2726","G-05","G-23","E-09","E-09","E-09","ZZ-04","EE-18","EE-18","EE-18","EE-18","EE-18"
"44","B-06","EE-02","B-06","E-12","HG2019","O-20","H-22","PO2827","G-06","G-24","E-10","E-10","E-10","ZZ-05","EE-02","EE-02","EE-02","EE-02","EE-02"
"45","JI2120","DD-20","JI2120","F-01","HG2120","O-23","H-23","PO2928","G-07","G-25","E-11","E-11","E-11","AA-02","DD-20","DD-20","DD-20","DD-20","DD-20"
"46","J-23","DD-19","J-23","F-02","HG2221","P-01","H-24","Q-22","G-08","G-26","E-12","E-12","E-12","AA-03","DD-19","DD-19","DD-19","DD-19","DD-19"
"47","D-18","DD-01","D-18","F-03","HG2322","P-18","H-25","Q-23","G-09","GF1918","E-18","E-18","E-18","AA-04","DD-01","DD-01","DD-01","DD-01","DD-01"
"48","H-03","DD-02","H-03","F-04","HG2423","P-19","H-26","Q-25","G-10","GF2019","E-19","E-19","E-19","AA-05","DD-02","DD-02","DD-02","DD-02","DD-02"
"49","D-03","DD-03","D-03","F-05","HG2524","P-20","HG1918","Q-26","G-11","GF2120","E-20","E-20","E-20","AA-06","DD-03","DD-03","DD-03","DD-03","DD-03"
"50","I-11","DD-09","I-11","F-06","HG2625","P-21","HG2019","Q-27","G-12","GF2221","E-21","E-21","E-21","AA-07","DD-09","DD-09","DD-09","DD-09","DD-09"
"51","H-18","CC-07","H-18","F-07","I-18","PO2423","HG2120","Q-28","G-13","GF2322","E-22","E-22","E-22","AA-08","CC-07","CC-07","CC-07","CC-07","CC-07"
"52","H-08","CC-08","H-08","F-08","I-19","Q-01","HG2221","QP2423","G-14","GF2423","F-01","F-01","F-01","AA-10","CC-08","CC-08","CC-08","CC-08","CC-08"
"53","Z-05","CC-09","Z-05","F-09","I-20","Q-02","HG2322","QP2524","G-15","GF2524","F-02","F-02","F-02","BB-02","CC-09","CC-09","CC-09","CC-09","CC-09"
"54","K-23","CC-10","K-23","F-10","I-21","Q-18","HG2423","QP2625","H-04","H-01","F-03","F-03","F-03","BB-03","CC-10","CC-10","CC-10","CC-10","CC-10"
"55","K-11","BB-21","K-11","F-11","I-22","Q-19","HG2524","QP2726","H-05","H-02","F-04","F-04","F-04","BB-04","BB-21","BB-21","BB-21","BB-21","BB-21"
"56","K-07","BB-20","K-07","F-12","I-23","Q-20","HG2625","QP2827","H-06","H-03","F-05","F-05","F-05","BB-05","BB-20","BB-20","BB-20","BB-20","BB-20"
"57","J-01","AA-10","J-01","F-13","I-24","Q-21","I-01","QP2928","H-07","H-18","F-06","F-06","F-06","BB-06","AA-10","AA-10","AA-10","AA-10","AA-10"
"58","F-13","ZZ-23","F-13","F-14","I-25","Q-23","I-18","R-22","H-08","H-19","F-07","F-07","F-07","BB-07","ZZ-23","ZZ-23","ZZ-23","ZZ-23","ZZ-23"
"59","J-12","ZZ-22","J-12","G-01","I-26","QP2423","I-19","R-23","H-09","H-20","F-08","F-08","F-08","BB-08","ZZ-22","ZZ-22","ZZ-22","ZZ-22","ZZ-22"
"60","J-18","ZZ-21","J-18","G-02","IH1918","R-22","I-20","R-24","H-10","H-21","F-09","F-09","F-09","BB-09","ZZ-21","ZZ-21","ZZ-21","ZZ-21","ZZ-21"
"61","G-21","ZZ-01","G-21","G-03","IH2019","V-26","I-21","R-25","H-11","H-22","F-10","F-10","F-10","BB-10","ZZ-01","ZZ-01","ZZ-01","ZZ-01","ZZ-01"
"62","H-11","ZZ-03","H-11","G-04","IH2120","L-01","I-22","R-26","H-12","H-23","F-11","F-11","F-11","CC-02","ZZ-03","ZZ-03","ZZ-03","ZZ-03","ZZ-03"
"63","C-06","ZZ-04","C-06","G-05","IH2221","L-02","I-23","R-27","H-13","H-24","F-12","F-12","F-12","CC-03","ZZ-04","ZZ-04","ZZ-04","ZZ-04","ZZ-04"
"64","G-19","ZZ-05","G-19","G-06","IH2322","L-03","I-24","R-28","H-14","H-25","F-13","F-13","F-13","CC-04","ZZ-05","ZZ-05","ZZ-05","ZZ-05","ZZ-05"
"65","E-11","Y-24","E-11","G-07","IH2423","L-04","I-25","RQ2827","H-15","H-26","F-14","F-14","F-14","CC-05","Y-24","Y-24","Y-24","Y-24","Y-24"
"66","K-20","Y-23","K-20","G-08","IH2524","L-05","I-26","S-22","H-16","HG1918","F-18","F-18","F-18","CC-06","Y-23","Y-23","Y-23","Y-23","Y-23"
"67","G-11","Y-22","G-11","G-09","IH2625","L-06","IH1918","S-23","I-04","HG2019","F-19","F-19","F-19","CC-07","Y-22","Y-22","Y-22","Y-22","Y-22"
"68","H-07","Y-20","H-07","G-10","IH2726","L-07","IH2019","S-24","I-05","HG2120","F-20","F-20","F-20","CC-08","Y-20","Y-20","Y-20","Y-20","Y-20"
"69","K-10","Y-18","K-10","G-11","J-18","L-08","IH2120","S-25","I-06","HG2221","F-21","F-21","F-21","CC-09","Y-18","Y-18","Y-18","Y-18","Y-18"
"70","F-22","Y-01","F-22","G-12","J-19","L-09","IH2221","S-26","I-07","HG2322","F-22","F-22","F-22","CC-10","Y-01","Y-01","Y-01","Y-01","Y-01"
"71","B-01","Y-02","B-01","G-13","J-20","L-18","IH2322","S-27","I-08","HG2423","F-23","F-23","F-23","DD-02","Y-02","Y-02","Y-02","Y-02","Y-02"
"72","C-02","Y-04","C-02","G-14","J-21","L-19","IH2423","S-28","I-09","HG2524","F-24","F-24","F-24","DD-03","Y-04","Y-04","Y-04","Y-04","Y-04"
"73","E-18","X-26","E-18","G-15","J-22","L-20","IH2524","M-24","I-10","HG2625","F-25","F-25","F-25","DD-09","X-26","X-26","X-26","X-26","X-26"
