"","CRUISE","VESSEL","HAUL","POT_ID","SPECIES_CODE","NUMBER_CRAB"
"1",202201,94,1,"F39",69322,15
"2",202201,94,2,"F38",69322,3
"3",202201,94,3,"F37",69322,18
"4",202201,94,4,"F36",69322,21
"5",202201,94,5,"F35",69322,18
"6",202201,94,6,"F34",69322,24
"7",202201,94,7,"F33",69322,76
"8",202201,94,8,"F32",69322,73
"9",202201,94,9,"F31",69322,54
"10",202201,94,10,"F30",69322,80
"11",202201,94,11,"F29",69322,28
"12",202201,94,12,"F28",69322,32
"13",202201,94,13,"F27",69322,35
"14",202201,94,14,"F26",69322,41
"15",202201,94,15,"F25",69322,25
"16",202201,94,16,"F24",69322,28
"17",202201,94,17,"F23",69322,7
"18",202201,94,18,"F22",69322,43
"19",202201,94,19,"F21",69322,14
"20",202201,94,20,"F20",69322,11
